sent1,sent2,sim
A man shappens a knife.,A man carries a women.,0.5
A man is peeling a potato.,A man is hiking.,0.5
A woman is reading a lifestyle magazine.,A woman is slicing a meat into pieces.,0.5
A woman is cooking broccoli.,A man is eating his food.,0.5
A man is folding a piece of paper.,A man is slicing a plastic container with a sword.,0.5
A man is singing while playing the guitar.,A man is stuffing himself full with food.,0.5
A woman is frying ground meat.,A man is cutting a trunk with an axe.,0.5
The man is playing the guitar.,The man is peeling a potato.,0.583
A man and a woman are kissing each other.,A man and a woman are talking to each other.,0.6
A dog is speaking to the camera.,A dog is eating some water melon.,0.6
A woman is wearing headphones.,A woman is chopping some shiso leaves.,0.6
A woman is adding oil on fishes.,The woman is cutting potatoes.,0.6
A man is holding a frog.,A man is emptying a plastic container.,0.6
A man is chopping butter into a container.,A woman is cutting shrimps.,0.6
A cat retrieves an object out of a dish of water.,The cat tried to eat the corn on the cob.,0.6
A woman is slicing mango.,A man is putting cheese on a tortilla.,0.6
A man is diving into a swimming pool.,A man is singing into a microphone.,0.667
A man dives off of a cliff.,A man is riding a motorcycle.,0.667
A man is praying.,A man is running.,0.727
A man is praying.,A man is dancing.,0.75
Someone is slicing a onion.,Someone is carrying a fish.,0.75
A woman is peeling a potato.,A woman is hitting a man.,0.75
A man is playing piano.,A man is laying on the ground.,0.75
A woman is cutting potato.,A woman is riding a horse.,0.75
A man is making a bed.,A man is speaking to an audience.,0.75
A man is walking outside.,A man is dancing.,0.75
A man is playing the piano.,Someone is playing guitar.,0.75
A man is serving cake.,A man seasoning quail.,0.75
A woman is squeezing some cucumber slices.,A woman is getting doused in green slime.,0.75
A man is slicing cucumber with a knife.,A man is cooking a tortilla in a skillet.,0.75
A man is stirring juice.,A man is peeling an onion.,0.75
A person is cutting garlic into pieces with a knife.,Someone is putting ingredients into a wok.,0.75
A man is walking along a path through wilderness.,A man is peeling an onion.,0.75
A man is meditating.,The man is riding the horse.,0.75
A young woman is playing a guitar.,A woman cuts up some meat.,0.75
A person is mixing a pot of rice.,A person is peeling a potato.,0.778
A man is shooting a gun.,A man is slicing a bun.,0.8
A man is spitting.,A man is talking.,0.8
A woman is washing her hands.,A woman is straightening her hair.,0.8
A woman is adding oil on fishes.,A woman is riding a horse.,0.8
A woman is smoking.,A woman is making some food.,0.8
A woman is slipping in the water-tub.,A woman is lying in a raft.,0.8
A man is mowing a lawn.,A man is mixing.,0.8
A woman is cutting an onion.,A woman is rowing a boat.,0.8
A man is staring at a leaf.,A man is slicing a vegetable.,0.8
The woman is slicing fish cake.,The woman is riding a horse.,0.8
A man is eating bread.,A man is playing flute.,0.8
A woman is cooking shrimp.,A woman is dancing.,0.8
A man is putting a knife in a vice.,A man is getting into a car in a garage.,0.8
A man is shooting a pistol.,A woman is chopping garlic.,0.8
A woman is swinging her arms.,A woman is slicing an onion.,0.8
A boy is riding a bike on a gate.,A woman is riding a horse.,0.8
A person is mixing water and flour.,A person is hitchhiking on a road.,0.8
A man is playing the trumpet.,Someone is playing with a toad.,0.8
A kitten is drinking milk from a bowl.,A small child is drinking water from a cup.,0.8
A man breaks cinder blocks on another man.,A woman breaks an egg into a pan.,0.8
A woman is writing something.,A woman is chopping green onions.,0.8
A man is chopping coriander leaf.,A man is playing a guitar.,0.8
A man takes a slice of pizza.,A man talks on his cell phone.,0.8
A man is playing the guitar and singing.,A man is opening a package containing headphones.,0.8
The man is trying to feed the snake with a mouse.,A man is working on his laptop.,0.8
A couple of policewomen are singing karaoke.,Two women are dancing.,0.8
Panda's play on a swing.,A man is playing guitar.,0.8
A man is playing a guitar.,A man is cleaning a cd.,0.833
A woman is cutting a tomato.,A woman is slicing a potato.,1
A man is running.,A man is mooing.,1
A woman is dancing.,A woman is exercising.,1
The man is playing the guitar.,The man is playing with a skull.,1
A person is cutting a potato.,A person is slicing a shallot.,1
A woman is boiling shrimp.,A woman is combing her hair.,1
A woman is cutting some flowers.,A woman is cutting broccoli.,1
A woman is doing ballet.,A woman is riding on a horse.,1
A woman is playing the flute.,A man is playing a keyboard.,1
A woman is cutting flowers.,A man is holding huge sunflowers.,1
A man is slicing a potatoe.,A man is peeling a banana.,1
A man is lifting weights.,A woman is exercising her abs.,1
A woman is holding a dancing baby up.,A woman is abusing her child.,1
A woman is chopping garlic.,A woman slices a fish.,1
A person is stirring rice.,A woman is cracking an egg.,1
A man is adding pork chops to a pan.,A woman is peeling a potato.,1
A person is slicing some onions.,A woman is chopping herbs.,1
A man is scaling a fish.,A man pours some cooking oil into a pot.,1
A man is putting broccoli into water.,A person is peeling a potato.,1
A girl is slicing a butter into two pieces.,A woman is slicing tofu.,1
A girl is playing a guitar.,A boy is playing a key-board between the people.,1
A woman is slicing an onion.,A man is slicing a tomato.,1.2
A woman is slicing a carrot.,A man is slicing a tomato.,1.2
A man is speaking.,A man is dancing.,1.2
A man is dancing.,A man is speaking.,1.2
A man is dancing.,A man is thinking.,1.2
A band is playing on stage.,A woman is dancing on a stage.,1.2
A woman is slicing a onion.,A woman is cutting a potato.,1.2
A man is playing the piano.,A woman is playing a guitar.,1.2
A woman is cutting potatoes.,A woman is slicing carrots.,1.2
The woman is thinly slicing a cucumber.,The woman is slicing a tomato.,1.2
A woman is applying eye shadow.,A woman is washing a bowl.,1.2
A person is frying.,A person is peeling a potato.,1.2
A woman is slicing an onion.,A man is shown slicing a carrot with a knife.,1.2
A woman is removing skin from some meat.,A woman is slicing a tomato.,1.2
Two little girls talk on the telephone.,Two couple are talking with each other.,1.2
A man is playing keyboards.,A man is riding a mechanical bull.,1.2
A baby is talking.,A boy is trying to say firetruck.,1.2
A man is cutting a potato.,A woman is cutting a tomato.,1.25
A man is running.,A man is dancing.,1.25
A man is dancing.,A man is singing.,1.25
A man is running.,A man is singing.,1.25
A girl is styling her hair.,A girl is filing her nails.,1.25
A man is swinging in a rope.,A gibbon is swinging in the trees.,1.25
A boy is playing a piano.,A man is singing and playing a guitar.,1.25
A man is playing an electronic keyboard.,A band is playing instruments.,1.25
Three boys in karate costumes are fighting.,Three men are practicing karate moves in a field.,1.25
Three men are dancing.,Women are dancing.,1.3
A woman is peeling a potato.,A woman is slicing a tomato.,1.333
A woman is peeling a potato.,A woman is slicing a tomato.,1.333
A man is kicking pots of water.,A man is turning foods.,1.333
A tiger is playing with his trainer.,A tiger attacks a man.,1.333
The man is walking.,A man is talking.,1.4
Someone is peeling a potato.,Someone is slicing a tomato.,1.4
A man is riding a bike.,A woman is riding a horse.,1.4
A man is riding a horse.,A man is driving a car.,1.4
A man is riding a horse.,A man is driving a car.,1.4
A man is peeling a banana.,A woman is peeling a potato.,1.4
A man is playing a guitar.,A man in a hat is playing a harp.,1.4
A man is playing on his keyboard.,A man is playing a guitar.,1.4
A woman is slicing an onion.,A woman is cutting a carrot.,1.4
A woman is slicing an onion.,A women slicing lemons.,1.4
A man is playing the piano.,A man is playing a wooden flute.,1.4
A woman is collecting tap water in a mug.,A boy is filling a pitcher with water.,1.4
A child is walking down the street as a jeep pulls up.,A woman is walking along a road and a man in a motorcar pulls up beside her.,1.4
A man is walking in the rain.,A man and woman is walking in the grand.,1.5
A person is slicing a carrot into pieces.,A person is cutting an onion into pieces.,1.5
A man is cutting tomatoes.,A woman is cutting broccoli.,1.5
Several kids jump up and down on a trampoline.,A man is doing back flips on a trampoline.,1.5
The two men did a funny skit with a boxer in front of a crowd of people.,Boys are dancing in front of people.,1.5
Some is grating onion into water.,A person grates a potato into a bowl.,1.5
A man is riding on a horse.,A woman is riding an elephant.,1.533
A man is playing the guitar.,A man is playing the drums.,1.556
A man is playing a guitar.,A man is playing a flute.,1.583
The man is playing the guitar.,The girl is playing the guitar.,1.6
A man is playing a harp.,A woman is playing a guitar.,1.6
A person is cutting a capsicum into pieces.,A person is slicing a garlic into pieces.,1.6
Someone is pouring oil into a skillet.,Someone is pouring milk into a blender.,1.6
A man is playing two pianos.,A cat is playing a piano.,1.6
A Woman is eating.,A animal is eating.,1.6
The woman is slicing herbs.,The man is slicing bread.,1.6
A man is playing a violin.,A man is playing a harp.,1.6
A woman is grating carrots.,A woman is coating a pork chop.,1.6
A woman is slicing ginger.,A woman is cutting potatoes.,1.6
A dog is looking around,A dog is watching a store counter.,1.6
The lady added cheese to the sauce.,A man pours a plate of shredded cheese into a pot of sauce.,1.6
Swimmers are racing in a lake.,Women swimmers are diving in from the starting platform.,1.6
A woman is writing a letter.,A woman is sitting at a desk.,1.667
A man and woman are Bollywood dancing.,A man an woman are dancing in the rain.,1.667
A group of people are marching in place.,A group of people are dancing in concert.,1.7
A woman is adding ingredients to a bowl.,A woman is cracking three eggs into a bowl.,1.75
A man is throwing knives at a tree.,A man is showing magic.,1.75
A boy is upset playing video games.,Someone is playing a gameboy.,1.75
A dog is opening a fridge.,A dog closes a refrigerator door.,1.75
A man removes a couple of toaster scrambles from a plastic packet.,A man removes food from a bag.,1.75
Several swimmers jump into the water.,Swimmers are racing in a lake.,1.75
A man is playing a piano.,A man is playing a guitar.,1.778
The man is playing a guitar.,A baby is playing a guitar.,1.8
A man is playing a guitar.,A woman is playing a flute.,1.8
A man is playing keyboard.,A man is playing guitar.,1.8
A man is playing the drums.,A man is playing guitar.,1.8
A woman is cutting an apple.,A woman is cutting potato.,1.8
A man is eating a banana.,Someone is peeling a banana.,1.8
A man is playing drums.,A man is playing his guitar.,1.8
A man is cutting tomatoes into pieces.,A woman is cutting potatoes.,1.8
A woman is chopping an onion.,A woman is chopping garlic with a knife.,1.8
A man playing the guitar.,A man is playing a flute.,1.8
A person is riding a horse.,A man is riding a motorcycle.,1.8
Two boys are talking on the phone.,A woman is talking on a telephone.,1.8
A man is standing on a roof top playing a violin.,A man is on a roof dancing.,1.8
A woman is doing a joker make up on a man.,The girl applied face makeup to a man.,1.8
A person dices up an orange pepper.,The cook is slicing bell peppers.,1.8
A man is playing a flute.,A man is playing a guitar.,2
A man is playing a flute.,A man is playing a guitar.,2
A man is playing a guitar.,A man is playing a piano.,2
A man is playing a flute.,A man is playing a guitar.,2
A man is playing a flute.,A man is playing a guitar.,2
The woman is shooting a machine gun.,The man is shooting a gun.,2
A woman is cutting an onion.,A man is chopping an onion.,2
A person is slicing a scallop.,A person is slicing octopus.,2
A man and a woman are riding on their bicycles.,A man and woman are riding a motorcycle.,2
A girl is playing guitar.,A girl is playing a piano.,2
A man is playing piano.,A man is playing a violin.,2
Two people are riding a motorcycle.,Two people are riding a bike.,2
Two roosters are fighting.,Two men are fighting.,2
A woman is cutting an onion.,A woman is cutting meat.,2
A woman is slicing up some meat.,A woman is slicing some onions.,2
A woman is dancing in the rain.,A woman is dancing in railway station.,2
A man plays a guitar.,A woman is playing guitar.,2
A man is talking on a cell phone.,A guy is talking into a microphone.,2
A woman opens a window.,A woman is looking out a window.,2
The woman is riding a horse.,A man is riding a horse in an arena.,2
A man is cutting a snake to cook.,A woman is cutting meat.,2
The monkey is hanging from the trees.,The monkey swung from branch to branch.,2
A man is adding oil to car.,A man is putting anti-freeze into a car.,2
A woman is slicing pumpkin.,A person is slicing cantaloupe.,2
A person is riding a jetski in the waves.,A woman is riding a seadoo.,2
A group of girls are exiting a taxi.,A video clip of Rihanna leaving a taxi.,2
The cat shimmied under the bed.,A cat is crawling upside down under the couch.,2
A woman is slicing fruit.,Two women are slicing some lemons.,2
Someone is scratching an animals belly.,A woman is stroking a lemur.,2
A man is playing a flute.,A man is playing guitar.,2.167
A man is playing the guitar.,A man is playing the flute.,2.2
A kid is playing guitar.,A man is playing a guitar.,2.2
A woman is cutting some fish.,A woman is cutting tofu.,2.2
A woman is slicing an onion.,A woman is slicing lemons.,2.2
A man is playing a guitar.,A woman is playing an electric guitar.,2.2
A woman is slicing a garlic.,A woman is slicing a big pepper.,2.2
A woman is cutting a squash.,A woman is cutting big pepper.,2.2
A man is putting two paper towels on a paper plate.,A man is putting papers on a dish.,2.2
The man is playing the keyboards.,A man is playing guitar.,2.2
A man is playing a ukulele.,A man is sitting and playing a small guitar.,2.2
Several ferrets climb out of their cage.,Ferrets climb down from a shelf.,2.2
The man set up his camera to take sunset pictures at the beach.,A man is taking pictures of a lake.,2.2
The girl is slicing an onion.,A woman is chopping an onion into small pieces.,2.2
A man is playing a guitar.,The girl is playing the guitar.,2.25
A man is slicing vegetables.,A woman is slicing a potato.,2.25
A dog is playing with a toy.,A dog is eating a doll.,2.25
A woman cuts up a vegetable.,A woman is slicing egg plant.,2.25
A man is slicing a potato.,A woman is peeling a potato.,2.333
A person uses a blowtorch on two cameras.,A person is burning cameras.,2.333
Someone is slicing two uncooked racks of ribs apart.,Someone is cutting a piece of meat.,2.333
A man is giving a lecture on a podium.,A man is delivering a lecture at an event celebrating the game of cricket.,2.333
A man is cutting up a potato.,A man is cutting up carrots.,2.375
A woman is playing an electric guitar.,A man is playing an acoustic guitar.,2.4
Someone is playing a piano.,Someone is playing guitar.,2.4
A woman puts slabs of meat in a pan.,A man puts pieces of meat into a plastic bag.,2.4
The man is seasoning the sausages.,The man added seasoning to water in a bowl.,2.4
A car backs out of a space.,A car is taking reverse.,2.4
A man is dicing an onion.,A woman is cutting an onion.,2.5
A woman is slicing a potato.,A woman is slicing carrot.,2.5
A man is breaking wooden boards with his hand.,A man is breaking tiles with his hands.,2.5
A man is running with a bus.,A man runs with a truck.,2.5
Someone is greating a carrot.,A woman is grating an orange food.,2.5
A monkey is karate kicking a person.,A monkey pratices martial arts.,2.5
A man is pouring chili into a bowl.,A man opens a can and pours the contents into a bowl.,2.5
The man was pushed into the water.,A man pushes another man into the ocean.,2.5
A slow loris bites a persons fingers.,A small animal is chewing on a finger.,2.5
The girl is tiding up her bed.,A woman is making a bed.,2.5
A man is karate kicking at another man wearing protective boxing gloves.,A man is kick boxing with a trainer.,2.5
A man is cutting a paper.,A person is tearing paper.,2.583
A man is peeling a potato.,A man is slicing a potato.,2.6
A woman is chopping broccoli.,A woman is chopping garlic.,2.6
A woman is dancing.,The man is dancing.,2.6
Women are talking.,The men are talking.,2.6
A girl is putting gel in her hair.,A woman is putting gel on her hair.,2.6
A girl is eating a cupcake.,A woman is eating a cupcake.,2.6
A girl is playing a violin.,A girl is playing a flute.,2.6
A boy and a girl is dancing in the rain.,A man and woman is dancing in the rain.,2.6
A little girl is playing a grand piano on stage.,A little girl is playing the piano.,2.6
A girl is coming up on a car.,A girl jumps on top of a car.,2.6
The men are performing on stage.,The comedic mimes performed on stage.,2.6
A man is kicking a soccer ball.,A man is performing tricks with a soccer ball.,2.6
Men are running a race.,Racers are running down a track.,2.6
A lion is walking in an enclosed area.,A lion is walking around.,2.6
Girls are walking on the stage.,Women models are walking down a catwalk.,2.6
Some men are skating on the road.,Two boys are skate boarding.,2.6
A man pours liquid into a pan.,The chef poured oil in the pan.,2.6
The animal with the big eyes is eating.,A slow loris is eating.,2.6
The women are sitiing down.,Two women are sitting close to each other and talking.,2.6
A person breaks an egg into a small bowl.,A man cracks an egg.,2.6
A woman is slicing a lemon.,"A woman, in a kitchen, peels a lemon.",2.667
A dog knocks a boy into the water twice.,A dog pushes a toddler into a rain puddle.,2.692
A man is playing a guitar.,A woman is playing the guitar.,2.75
A lion cub tries to climb a fence.,A lion tries to climb over a wall.,2.75
A little girl peddling a scooter.,A girl is riding a scooter.,2.75
A person drops a camera down an escelator.,A man tosses a bag down an escalator.,2.75
A boy is running on a beach.,Two boys are playing in the beach.,2.75
A man takes a piece of pepperoni pizza out of a pizza box and puts it on the lid after he closes the box.,The man took a piece of pepperoni pizza out of the box.,2.75
A man is stirring ingredients in a bowl.,A man is beating two eggs in a bowl with a fork.,2.75
A woman serving volleyballs over a net.,One woman hands volleyballs to another woman who serves them.,2.75
The dog could not figure out how to get a stick out the doggy door.,A dog is trying to get through his dog door.,2.75
A girl is applying makeup on her face.,A woman is putting on makeup.,2.75
The girl danced in front of the bonfire.,A woman is dancing to music standing near a bonfire.,2.75
A young man is riding a skateboard and jumps onto a sidewalk then off at another curb.,A man is riding a skateboard.,2.75
A woman is stirring rice in a pot.,Someone is putting rice in a pan.,2.769
A girl is playing a guitar.,A man is playing a guitar.,2.8
A girl is singing on stage.,A man is singing on stage.,2.8
A woman is riding a horse.,A woman is riding a donkey.,2.8
A girl is playing a guitar.,A man is playing a guitar.,2.8
A woman is riding a horse.,A man rides a horse.,2.8
A cartoon woman dives into a pool.,A cartoon woman is diving off a board.,2.8
Someone is cleaning a animal.,A woman is cleaning a shrimp.,2.8
An airplane moves along a runway.,A plane is landing on a runway.,2.8
A boy is playing the violin onstage.,A boy is playing an instrument.,2.8
The woman is putting makeup on the man.,A woman is painting the face of a man.,2.8
A woman shoots a shotgun.,The woman is shooting a rifle.,2.8
The lady made some slices on the shrimp.,A chef is slicing a shrimp.,2.8
The doctor was helping the patient.,Doctors are trying to revive a man.,2.8
A man is writing in a book.,A man is writing on a paper.,2.875
A man is crying.,A man is screaming.,3
A man is exercising.,A girl is exercising.,3
A woman is adding oil to a pan.,A man is pouring oil into a pan.,3
The man is hiking in the woods.,A man is tracking in the wood.,3
A boy is playing the piano.,A man is playing a piano.,3
The man erased what the other man had on the board.,The man erased the work on the board.,3
A cat stares into the camera.,A cat addresses the camera.,3
An animal is walking on the ground.,A solenodon is walking along the ground.,3
A girl dances in the rain.,A woman is dancing in the rain.,3
The man is singing and playing the guitar.,A man is playing a guitar.,3
Someone is cracking an egg open.,A man is breaking an egg.,3
A tiger is walking around his cage.,A tiger walks around aimlessly.,3
A parrot is talking.,A parrot is talking into a microphone.,3
A woman covers a piece of meat with flour.,A woman is seasoning a piece of meat.,3
A tiger trys to climb the wall.,A lion is trying to climb up over a wall.,3
Men are playing soccer.,Two teams play soccer.,3
A puppy is trying to come out from the sink.,The puppy tried to get out of the tub.,3
Some children are jumping on Trampoline.,Two boy are playing on a trampoline.,3
A panda bear is chewing on a stick.,A baby panda plays with a stick.,3
The man is throwing knives at a tree.,A man is throwing blades into a close target outside.,3
A man is riding on one wheel on a motorcycle.,A person is performing tricks on a motorcycle.,3
A clown is singing and people are dancing.,A clown is singing.,3
A boy rode his bike on top of a metal fence.,A BMX biker rides along the top of a fence.,3
A baby eats his food.,A baby is being fed peas.,3
A woman feeds an animal by hand.,The women are feeding the animal.,3
A person is chopping an herb.,A man is finely chopping a green substance.,3
Rocky and Apollo Creed are running down the beach.,The men are jogging on the beach.,3
A boy runs away from his fishing line.,A boy is running in front of fish hanging on fishing rod.,3
