sent_coercion,sent_anomaly,sent_control
everyone here knew that the tailor finished the blouse as the customer requested,everyone here knew that the tailor horrified the blouse as the customer requested,everyone here knew that the tailor sewed the blouse as the customer requested
the maid saw that the dog enjoyed the bone during the rain storm,the maid saw that the dog amused the bone during the rain storm,the maid saw that the dog chewed the bone during the rain storm
the therapist knew that the youth endured the braces for a long time,the therapist knew that the youth shocked the braces for a long time,the therapist knew that the youth wore the braces for a long time
the waitress knew that the diner enjoyed the casserole while talking to friends,the waitress knew that the diner annoyed the casserole while talking to friends,the waitress knew that the diner ate the casserole while talking to friends
the writer reported that the quarterback enjoyed the champagne after the stunning victory,the writer reported that the quarterback enraged the champagne after the stunning victory,the writer reported that the quarterback drank the champagne after the stunning victory
the host understood that the novelist began the chapter before his morning walk,the host understood that the novelist annoyed the chapter before his morning walk,the host understood that the novelist wrote the chapter before his morning walk
the crowd recognized that the performer endured the costume until the show finished,the crowd recognized that the performer alarmed the costume until the show finished,the crowd recognized that the performer wore the costume until the show finished
the naturalist reasoned that the beaver completed the dam after the summer rains,the naturalist reasoned that the beaver infuriated the dam after the summer rains,the naturalist reasoned that the beaver built the dam after the summer rains
the client knew that the seamstress began the dress after her short vacation,the client knew that the seamstress captivated the dress after her short vacation,the client knew that the seamstress sewed the dress after her short vacation
the anthropologist reasoned that the tribesman mastered the drums before the sacred ritual,the anthropologist reasoned that the tribesman shocked the drums before the sacred ritual,the anthropologist reasoned that the tribesman played the drums before the sacred ritual
the assistant noted that the chef started the entree before the soup boiled,the assistant noted that the chef comforted the entree before the soup boiled,the assistant noted that the chef cooked the entree before the soup boiled
almost everyone thought that the caterer finished the food before the guest arrived,almost everyone thought that the caterer irritated the food before the guest arrived,almost everyone thought that the caterer prepared the food before the guest arrived
the father saw that his son enjoyed the hamburger while his mother talked,the father saw that his son disgusted the hamburger while his mother talked,the father saw that his son ate the hamburger while his mother talked
the police claimed that the girl completed the journal during the long trip,the police claimed that the girl frightened the journal during the long trip,the police claimed that the girl wrote the journal during the long trip
the director saw that the dancer endured the leotard during the long performance,the director saw that the dancer shocked the leotard during the long performance,the director saw that the dancer wore the leotard during the long performance
the warden accepted that the prisoner began the letter after the evening meal,the warden accepted that the prisoner disgusted the letter after the evening meal,the warden accepted that the prisoner wrote the letter after the evening meal
everyone was thankful that the man completed the manual before the product shipped,everyone was thankful that the man offended the manual before the product shipped,everyone was thankful that the man read the manual before the product shipped
the secretary saw that the publisher started the manuscript after the author called,the secretary saw that the publisher annoyed the manuscript after the author called,the secretary saw that the publisher read the manuscript after the author called
the teacher saw that the teenager began the novel before the evening break,the teacher saw that the teenager enraged the novel before the evening break,the teacher saw that the teenager read the novel before the evening break
the father saw that the grandpa tried the pipe as his son watched,the father saw that the grandpa amused the pipe as his son watched,the father saw that the grandpa smoked the pipe as his son watched
everyone was shocked that the passenger completed the poem while in the terminal,everyone was shocked that the passenger pleased the poem while in the terminal,everyone was shocked that the passenger read the poem while in the terminal
the janitor observed that the pharmacist finished the prescription while the customer waited,the janitor observed that the pharmacist repelled the prescription while the customer waited,the janitor observed that the pharmacist filled the prescription while the customer waited
the housewife knew that the guests tried the salmon after the music started,the housewife knew that the guests displeased the salmon after the music started,the housewife knew that the guests ate the salmon after the music started
the clerk saw that the gentleman finished the sandwich while at the counter,the clerk saw that the gentleman pleased the sandwich while at the counter,the clerk saw that the gentleman ate the sandwich while at the counter
the nanny said that the toddler mastered the seesaw before his second birthday,the nanny said that the toddler alarmed the seesaw before his second birthday,the nanny said that the toddler used the seesaw before his second birthday
the homeowner remembered that the handyman completed the sink before the bathtub arrived,the homeowner remembered that the handyman intrigued the sink before the bathtub arrived,the homeowner remembered that the handyman fixed the sink before the bathtub arrived
the investigator believed that the infant attempted the stairs while the nanny left,the investigator believed that the infant amused the stairs while the nanny left,the investigator believed that the infant climbed the stairs while the nanny left
the waiter noted that the patron tried the steak before the fries arrived,the waiter noted that the patron excited the steak before the fries arrived,the waiter noted that the patron ate the steak before the fries arrived
the nurse noted that the pediatrician tried the stethoscope as his patient shuddered,the nurse noted that the pediatrician shocked the stethoscope as his patient shuddered,the nurse noted that the pediatrician used the stethoscope as his patient shuddered
the proprietor liked that the lady enjoyed the tea since it was hot,the proprietor liked that the lady fascinated the tea since it was hot,the proprietor liked that the lady drank the tea since it was hot
the ringmaster knew that the acrobat mastered the tightrope before the circus toured,the ringmaster knew that the acrobat amused the tightrope before the circus toured,the ringmaster knew that the acrobat walked the tightrope before the circus toured
the client understood that the mechanic finished the truck before the boss returned,the client understood that the mechanic intrigued the truck before the boss returned,the client understood that the mechanic fixed the truck before the boss returned
the priest saw that the altar-boy tried the wine before the evening service,the priest saw that the altar-boy scared the wine before the evening service,the priest saw that the altar-boy drank the wine before the evening service
